#    L    TT             EE             BB             TE          
   154    0.65999E+00    0.58966E-02    0.26548E-02   -0.27222E-01
   155    0.62694E+00    0.57905E-02    0.25962E-02   -0.24718E-01
   156    0.59663E+00    0.56844E-02    0.25386E-02   -0.22296E-01
   157    0.56897E+00    0.55783E-02    0.24820E-02   -0.19955E-01
   158    0.54387E+00    0.54723E-02    0.24265E-02   -0.17695E-01
   159    0.52123E+00    0.53665E-02    0.23721E-02   -0.15516E-01
   160    0.50096E+00    0.52609E-02    0.23187E-02   -0.13417E-01
   161    0.48296E+00    0.51557E-02    0.22665E-02   -0.11399E-01
   162    0.46714E+00    0.50509E-02    0.22154E-02   -0.94602E-02
   163    0.45341E+00    0.49466E-02    0.21654E-02   -0.76014E-02
   164    0.44166E+00    0.48427E-02    0.21166E-02   -0.58219E-02
   165    0.43180E+00    0.47396E-02    0.20689E-02   -0.41216E-02
   166    0.42375E+00    0.46370E-02    0.20225E-02   -0.25002E-02
   167    0.41740E+00    0.45353E-02    0.19772E-02   -0.95741E-03
   168    0.41265E+00    0.44343E-02    0.19332E-02    0.50700E-03
   169    0.40942E+00    0.43343E-02    0.18904E-02    0.18933E-02
   170    0.40761E+00    0.42352E-02    0.18489E-02    0.32017E-02
   171    0.40713E+00    0.41372E-02    0.18087E-02    0.44326E-02
   172    0.40787E+00    0.40403E-02    0.17698E-02    0.55862E-02
   173    0.40975E+00    0.39445E-02    0.17323E-02    0.66626E-02
   174    0.41266E+00    0.38500E-02    0.16960E-02    0.76623E-02
   175    0.41653E+00    0.37569E-02    0.16611E-02    0.85854E-02
   176    0.42125E+00    0.36651E-02    0.16276E-02    0.94326E-02
   177    0.42676E+00    0.35747E-02    0.15954E-02    0.10206E-01
   178    0.43301E+00    0.34859E-02    0.15646E-02    0.10907E-01
   179    0.43995E+00    0.33985E-02    0.15351E-02    0.11538E-01
   180    0.44751E+00    0.33127E-02    0.15068E-02    0.12102E-01
   181    0.45565E+00    0.32285E-02    0.14799E-02    0.12600E-01
   182    0.46431E+00    0.31459E-02    0.14541E-02    0.13036E-01
   183    0.47342E+00    0.30650E-02    0.14296E-02    0.13410E-01
   184    0.48294E+00    0.29857E-02    0.14062E-02    0.13725E-01
   185    0.49281E+00    0.29083E-02    0.13840E-02    0.13983E-01
   186    0.50298E+00    0.28326E-02    0.13629E-02    0.14187E-01
   187    0.51338E+00    0.27587E-02    0.13430E-02    0.14339E-01
   188    0.52397E+00    0.26867E-02    0.13242E-02    0.14440E-01
   189    0.53469E+00    0.26167E-02    0.13064E-02    0.14493E-01
   190    0.54548E+00    0.25485E-02    0.12896E-02    0.14501E-01
   191    0.55628E+00    0.24823E-02    0.12739E-02    0.14465E-01
   192    0.56705E+00    0.24182E-02    0.12592E-02    0.14387E-01
