#    L    TT             EE             BB             TE          
   334    0.28617E+04    0.14978E+02    0.72760E-03    0.10715E+03
   335    0.28318E+04    0.15151E+02    0.72100E-03    0.10624E+03
   336    0.28023E+04    0.15323E+02    0.71457E-03    0.10530E+03
   337    0.27730E+04    0.15494E+02    0.70832E-03    0.10432E+03
   338    0.27439E+04    0.15664E+02    0.70225E-03    0.10331E+03
   339    0.27152E+04    0.15833E+02    0.69636E-03    0.10227E+03
   340    0.26868E+04    0.16000E+02    0.69066E-03    0.10120E+03
   341    0.26585E+04    0.16165E+02    0.68515E-03    0.10009E+03
   342    0.26306E+04    0.16330E+02    0.67984E-03    0.98953E+02
   343    0.26030E+04    0.16492E+02    0.67474E-03    0.97785E+02
   344    0.25758E+04    0.16653E+02    0.66984E-03    0.96587E+02
   345    0.25488E+04    0.16812E+02    0.66516E-03    0.95360E+02
   346    0.25221E+04    0.16969E+02    0.66070E-03    0.94110E+02
   347    0.24958E+04    0.17124E+02    0.65647E-03    0.92824E+02
   348    0.24698E+04    0.17277E+02    0.65246E-03    0.91508E+02
   349    0.24441E+04    0.17428E+02    0.64869E-03    0.90162E+02
   350    0.24187E+04    0.17576E+02    0.64517E-03    0.88794E+02
   351    0.23939E+04    0.17723E+02    0.64188E-03    0.87397E+02
   352    0.23692E+04    0.17868E+02    0.63884E-03    0.85970E+02
   353    0.23450E+04    0.18010E+02    0.63602E-03    0.84528E+02
   354    0.23210E+04    0.18150E+02    0.63343E-03    0.83049E+02
   355    0.22975E+04    0.18287E+02    0.63106E-03    0.81548E+02
   356    0.22743E+04    0.18422E+02    0.62890E-03    0.80032E+02
   357    0.22515E+04    0.18555E+02    0.62694E-03    0.78487E+02
   358    0.22292E+04    0.18684E+02    0.62518E-03    0.76926E+02
   359    0.22071E+04    0.18810E+02    0.62361E-03    0.75336E+02
   360    0.21855E+04    0.18935E+02    0.62222E-03    0.73727E+02
   361    0.21642E+04    0.19056E+02    0.62101E-03    0.72096E+02
   362    0.21434E+04    0.19175E+02    0.61997E-03    0.70444E+02
   363    0.21229E+04    0.19291E+02    0.61909E-03    0.68774E+02
   364    0.21029E+04    0.19403E+02    0.61837E-03    0.67083E+02
   365    0.20833E+04    0.19513E+02    0.61779E-03    0.65376E+02
   366    0.20640E+04    0.19620E+02    0.61736E-03    0.63651E+02
   367    0.20453E+04    0.19723E+02    0.61705E-03    0.61908E+02
   368    0.20268E+04    0.19823E+02    0.61688E-03    0.60152E+02
   369    0.20089E+04    0.19921E+02    0.61683E-03    0.58377E+02
   370    0.19914E+04    0.20014E+02    0.61689E-03    0.56591E+02
   371    0.19742E+04    0.20105E+02    0.61706E-03    0.54789E+02
   372    0.19575E+04    0.20192E+02    0.61732E-03    0.52976E+02
   373    0.19412E+04    0.20276E+02    0.61768E-03    0.51149E+02
   374    0.19254E+04    0.20356E+02    0.61813E-03    0.49310E+02
   375    0.19099E+04    0.20434E+02    0.61865E-03    0.47462E+02
   376    0.18949E+04    0.20508E+02    0.61925E-03    0.45603E+02
   377    0.18804E+04    0.20578E+02    0.61991E-03    0.43736E+02
   378    0.18663E+04    0.20644E+02    0.62062E-03    0.41858E+02
   379    0.18526E+04    0.20707E+02    0.62139E-03    0.39974E+02
   380    0.18394E+04    0.20768E+02    0.62221E-03    0.38082E+02
   381    0.18266E+04    0.20821E+02    0.62306E-03    0.36185E+02
   382    0.18141E+04    0.20874E+02    0.62393E-03    0.34282E+02
   383    0.18022E+04    0.20922E+02    0.62484E-03    0.32374E+02
   384    0.17907E+04    0.20965E+02    0.62576E-03    0.30463E+02
   385    0.17796E+04    0.21007E+02    0.62668E-03    0.28548E+02
   386    0.17690E+04    0.21044E+02    0.62761E-03    0.26631E+02
   387    0.17587E+04    0.21077E+02    0.62854E-03    0.24712E+02
   388    0.17489E+04    0.21106E+02    0.62945E-03    0.22793E+02
   389    0.17396E+04    0.21129E+02    0.63035E-03    0.20873E+02
   390    0.17307E+04    0.21151E+02    0.63122E-03    0.18956E+02
   391    0.17222E+04    0.21169E+02    0.63205E-03    0.17038E+02
   392    0.17141E+04    0.21184E+02    0.63285E-03    0.15124E+02
   393    0.17065E+04    0.21194E+02    0.63360E-03    0.13213E+02
   394    0.16993E+04    0.21201E+02    0.63430E-03    0.11306E+02
