#    L    TT             EE             BB             TE          
   201    0.65307E-02    0.19383E-04    0.11677E-04    0.12177E-03
   202    0.66047E-02    0.18964E-04    0.11616E-04    0.11803E-03
   203    0.66735E-02    0.18568E-04    0.11563E-04    0.11408E-03
   204    0.67371E-02    0.18194E-04    0.11517E-04    0.10994E-03
   205    0.67957E-02    0.17842E-04    0.11477E-04    0.10563E-03
   206    0.68493E-02    0.17512E-04    0.11445E-04    0.10114E-03
   207    0.68981E-02    0.17203E-04    0.11419E-04    0.96492E-04
   208    0.69420E-02    0.16914E-04    0.11398E-04    0.91694E-04
   209    0.69812E-02    0.16645E-04    0.11384E-04    0.86757E-04
   210    0.70157E-02    0.16396E-04    0.11376E-04    0.81688E-04
   211    0.70457E-02    0.16166E-04    0.11373E-04    0.76499E-04
   212    0.70711E-02    0.15955E-04    0.11375E-04    0.71199E-04
   213    0.70922E-02    0.15762E-04    0.11382E-04    0.65798E-04
   214    0.71090E-02    0.15587E-04    0.11393E-04    0.60307E-04
   215    0.71215E-02    0.15429E-04    0.11409E-04    0.54734E-04
   216    0.71298E-02    0.15288E-04    0.11430E-04    0.49090E-04
   217    0.71341E-02    0.15163E-04    0.11454E-04    0.43385E-04
   218    0.71344E-02    0.15054E-04    0.11482E-04    0.37628E-04
   219    0.71307E-02    0.14961E-04    0.11513E-04    0.31829E-04
   220    0.71233E-02    0.14883E-04    0.11548E-04    0.25999E-04
   221    0.71120E-02    0.14819E-04    0.11586E-04    0.20148E-04
   222    0.70972E-02    0.14770E-04    0.11626E-04    0.14284E-04
   223    0.70787E-02    0.14734E-04    0.11669E-04    0.84183E-05
   224    0.70567E-02    0.14711E-04    0.11714E-04    0.25606E-05
   225    0.70313E-02    0.14701E-04    0.11762E-04   -0.32794E-05
   226    0.70025E-02    0.14704E-04    0.11811E-04   -0.90917E-05
   227    0.69705E-02    0.14718E-04    0.11861E-04   -0.14866E-04
   228    0.69353E-02    0.14744E-04    0.11913E-04   -0.20594E-04
   229    0.68971E-02    0.14780E-04    0.11966E-04   -0.26264E-04
   230    0.68558E-02    0.14827E-04    0.12020E-04   -0.31866E-04
   231    0.68115E-02    0.14884E-04    0.12074E-04   -0.37392E-04
   232    0.67644E-02    0.14950E-04    0.12129E-04   -0.42831E-04
   233    0.67146E-02    0.15026E-04    0.12184E-04   -0.48173E-04
   234    0.66620E-02    0.15110E-04    0.12238E-04   -0.53408E-04
   235    0.66069E-02    0.15202E-04    0.12292E-04   -0.58526E-04
   236    0.65492E-02    0.15302E-04    0.12346E-04   -0.63518E-04
   237    0.64891E-02    0.15409E-04    0.12399E-04   -0.68373E-04
   238    0.64266E-02    0.15524E-04    0.12450E-04   -0.73082E-04
   239    0.63618E-02    0.15644E-04    0.12500E-04   -0.77635E-04
   240    0.62948E-02    0.15770E-04    0.12549E-04   -0.82021E-04
   241    0.62257E-02    0.15902E-04    0.12596E-04   -0.86232E-04
   242    0.61546E-02    0.16038E-04    0.12641E-04   -0.90257E-04
   243    0.60816E-02    0.16179E-04    0.12683E-04   -0.94086E-04
   244    0.60066E-02    0.16325E-04    0.12723E-04   -0.97709E-04
   245    0.59299E-02    0.16473E-04    0.12760E-04   -0.10112E-03
   246    0.58514E-02    0.16625E-04    0.12794E-04   -0.10430E-03
   247    0.57713E-02    0.16780E-04    0.12824E-04   -0.10725E-03
   248    0.56897E-02    0.16936E-04    0.12851E-04   -0.10995E-03
   249    0.56066E-02    0.17095E-04    0.12875E-04   -0.11240E-03
   250    0.55222E-02    0.17254E-04    0.12894E-04   -0.11458E-03
   251    0.54364E-02    0.17415E-04    0.12909E-04   -0.11649E-03
   252    0.53494E-02    0.17576E-04    0.12920E-04   -0.11813E-03
   253    0.52613E-02    0.17738E-04    0.12927E-04   -0.11951E-03
   254    0.51722E-02    0.17900E-04    0.12930E-04   -0.12063E-03
   255    0.50821E-02    0.18061E-04    0.12929E-04   -0.12151E-03
   256    0.49912E-02    0.18223E-04    0.12924E-04   -0.12215E-03
   257    0.48995E-02    0.18384E-04    0.12915E-04   -0.12255E-03
   258    0.48072E-02    0.18544E-04    0.12902E-04   -0.12272E-03
   259    0.47142E-02    0.18703E-04    0.12886E-04   -0.12267E-03
   260    0.46208E-02    0.18861E-04    0.12867E-04   -0.12241E-03
   261    0.45269E-02    0.19017E-04    0.12844E-04   -0.12194E-03
   262    0.44328E-02    0.19172E-04    0.12817E-04   -0.12127E-03
   263    0.43384E-02    0.19325E-04    0.12788E-04   -0.12041E-03
   264    0.42439E-02    0.19476E-04    0.12755E-04   -0.11935E-03
   265    0.41493E-02    0.19625E-04    0.12719E-04   -0.11812E-03
   266    0.40548E-02    0.19771E-04    0.12680E-04   -0.11671E-03
   267    0.39604E-02    0.19914E-04    0.12638E-04   -0.11513E-03
   268    0.38662E-02    0.20054E-04    0.12594E-04   -0.11340E-03
   269    0.37723E-02    0.20191E-04    0.12546E-04   -0.11151E-03
   270    0.36789E-02    0.20325E-04    0.12496E-04   -0.10947E-03
   271    0.35859E-02    0.20455E-04    0.12443E-04   -0.10729E-03
   272    0.34935E-02    0.20581E-04    0.12388E-04   -0.10498E-03
   273    0.34018E-02    0.20703E-04    0.12330E-04   -0.10254E-03
   274    0.33108E-02    0.20820E-04    0.12270E-04   -0.99978E-04
   275    0.32207E-02    0.20933E-04    0.12208E-04   -0.97303E-04
   276    0.31315E-02    0.21042E-04    0.12143E-04   -0.94522E-04
   277    0.30434E-02    0.21145E-04    0.12077E-04   -0.91640E-04
   278    0.29563E-02    0.21243E-04    0.12008E-04   -0.88665E-04
   279    0.28705E-02    0.21335E-04    0.11937E-04   -0.85603E-04
   280    0.27860E-02    0.21422E-04    0.11865E-04   -0.82460E-04
   281    0.27029E-02    0.21503E-04    0.11790E-04   -0.79244E-04
   282    0.26212E-02    0.21577E-04    0.11714E-04   -0.75961E-04
   283    0.25411E-02    0.21645E-04    0.11637E-04   -0.72617E-04
   284    0.24626E-02    0.21707E-04    0.11558E-04   -0.69221E-04
   285    0.23859E-02    0.21762E-04    0.11477E-04   -0.65777E-04
   286    0.23111E-02    0.21810E-04    0.11395E-04   -0.62294E-04
   287    0.22381E-02    0.21850E-04    0.11312E-04   -0.58777E-04
   288    0.21672E-02    0.21883E-04    0.11228E-04   -0.55234E-04
   289    0.20984E-02    0.21908E-04    0.11142E-04   -0.51671E-04
   290    0.20317E-02    0.21926E-04    0.11055E-04   -0.48095E-04
   291    0.19674E-02    0.21935E-04    0.10968E-04   -0.44512E-04
   292    0.19054E-02    0.21936E-04    0.10880E-04   -0.40930E-04
   293    0.18458E-02    0.21928E-04    0.10790E-04   -0.37354E-04
   294    0.17889E-02    0.21911E-04    0.10700E-04   -0.33792E-04
   295    0.17345E-02    0.21885E-04    0.10610E-04   -0.30251E-04
   296    0.16829E-02    0.21850E-04    0.10519E-04   -0.26736E-04
   297    0.16341E-02    0.21805E-04    0.10427E-04   -0.23256E-04
   298    0.15883E-02    0.21751E-04    0.10336E-04   -0.19816E-04
   299    0.15454E-02    0.21686E-04    0.10243E-04   -0.16423E-04
   300    0.15056E-02    0.21612E-04    0.10151E-04   -0.13084E-04
   301    0.14689E-02    0.21527E-04    0.10059E-04   -0.98048E-05
   302    0.14354E-02    0.21432E-04    0.99661E-05   -0.65868E-05
   303    0.14048E-02    0.21327E-04    0.98736E-05   -0.34308E-05
   304    0.13772E-02    0.21212E-04    0.97810E-05   -0.33739E-06
   305    0.13524E-02    0.21089E-04    0.96886E-05    0.26928E-05
   306    0.13304E-02    0.20957E-04    0.95963E-05    0.56591E-05
   307    0.13111E-02    0.20816E-04    0.95041E-05    0.85608E-05
   308    0.12943E-02    0.20668E-04    0.94123E-05    0.11397E-04
   309    0.12800E-02    0.20511E-04    0.93207E-05    0.14168E-04
   310    0.12682E-02    0.20347E-04    0.92294E-05    0.16872E-04
   311    0.12587E-02    0.20176E-04    0.91385E-05    0.19510E-04
   312    0.12514E-02    0.19998E-04    0.90481E-05    0.22079E-04
   313    0.12463E-02    0.19814E-04    0.89582E-05    0.24580E-04
   314    0.12433E-02    0.19624E-04    0.88688E-05    0.27012E-04
   315    0.12422E-02    0.19427E-04    0.87801E-05    0.29374E-04
   316    0.12431E-02    0.19226E-04    0.86919E-05    0.31666E-04
   317    0.12459E-02    0.19019E-04    0.86045E-05    0.33887E-04
   318    0.12503E-02    0.18807E-04    0.85179E-05    0.36036E-04
   319    0.12564E-02    0.18591E-04    0.84320E-05    0.38113E-04
   320    0.12641E-02    0.18371E-04    0.83470E-05    0.40117E-04
   321    0.12733E-02    0.18147E-04    0.82629E-05    0.42047E-04
   322    0.12839E-02    0.17920E-04    0.81798E-05    0.43903E-04
   323    0.12958E-02    0.17690E-04    0.80977E-05    0.45684E-04
   324    0.13090E-02    0.17456E-04    0.80166E-05    0.47390E-04
   325    0.13233E-02    0.17221E-04    0.79367E-05    0.49020E-04
   326    0.13387E-02    0.16983E-04    0.78579E-05    0.50572E-04
   327    0.13550E-02    0.16743E-04    0.77804E-05    0.52047E-04
   328    0.13723E-02    0.16502E-04    0.77041E-05    0.53445E-04
   329    0.13904E-02    0.16260E-04    0.76291E-05    0.54763E-04
   330    0.14092E-02    0.16017E-04    0.75555E-05    0.56002E-04
